customer_id,current_income,emi_amount,credit_limit,credit_utilization,income_drop_pct,balance_drop_pct,emi_to_income_ratio,failed_autodebit,discretionary_spend_drop,default_next_30_days
1,35397.871068459404,5860,153694,0.7348734651630104,0.2512831020052885,0.37003641331815906,0.16554667902673506,2,0.5921266556524377,1
2,52341.88618506922,5189,179981,0.7646949954000042,0.3937990334857407,0.5125922253933408,0.0991366643084442,2,0.5266084230952957,1
3,95103.31652324925,16653,290181,0.28263346953150126,-0.055007100863306686,0.2283319760609373,0.1751043034963871,0,0.0031272813482387863,0
4,24295.845092617554,26847,243664,0.7298985614845754,0.27509557418550906,0.21912131965618947,1.1050037526028527,2,0.5546741472798251,1
5,111259.38588897906,28769,148806,0.5473924665198522,0.013182679727770909,-0.024257516232504803,0.25857593739288964,0,0.17609356780305155,0
6,95858.05490500086,14789,230152,0.7610313805619435,0.3078454932488406,0.26137530226618344,0.15428020122728847,1,0.39696087960622656,1
7,86349.07626251718,22879,118840,0.8904049038321793,0.29029566379138694,0.47208964120642527,0.2649594065192267,1,0.37264798148322775,1
8,54215.22064969729,7327,156308,0.7852665877625646,0.24570619603189722,0.11801357816495804,0.13514654947809218,1,0.36272148622131406,1
9,40874.26801859505,25445,241785,0.9339087485552369,0.24348672493135531,0.227538003320597,0.6225187932032014,2,0.5695662565581238,1
10,63725.32818090702,29829,229426,0.8474677118901359,0.3210159226398771,0.2948901617449383,0.46808703621454517,2,0.4179293174000281,1
11,108887.42774870068,10895,200810,0.3925488643009626,-0.13507662152918085,-0.05860874651809985,0.10005746508352069,0,0.1702273343033714,0
12,142028.26030104278,24778,76641,0.4764099884539538,0.07334805017801145,-0.010911455038850932,0.1744582377301574,0,0.0593020287295597,0
13,82284.43587126539,10986,232065,0.6909204441552654,-0.00664602720327867,0.0416430456656302,0.1335124909550049,0,0.16778670041387267,0
14,75876.80158787205,28893,81024,0.7063376858538644,0.37375485677368037,0.4640457553173937,0.3807883225881543,1,0.3242618899851593,1
15,31780.759014821688,28944,150235,0.2793232238212455,-0.08538848020025241,0.18637450240463738,0.9107397336388756,0,0.024032929561128437,0
16,87526.6112226432,14435,235412,0.8591008993615028,0.2810094065552542,0.30308479259323945,0.1649212713523365,2,0.47264225336276366,1
17,66174.09480236833,16938,216267,0.7651736320589757,0.3608270213404368,0.2589382247789446,0.25596118920230093,1,0.33544944828649687,1
18,129681.32904334669,10745,207164,0.5754355338957486,-0.06060881469833191,0.012983916008576945,0.0828569546538841,0,0.15090857481693648,0
19,51032.26897427846,27301,161888,0.57618726471884,-0.010239281202132813,0.21571673527783933,0.5349752332932793,0,0.1583158087451697,0
20,57364.242062290214,6062,134076,0.5885734579637183,0.013003279623730915,-0.02141424675304987,0.1056755878238127,0,0.11168084994716101,0
21,142716.34102547957,27361,274786,0.6889503343771354,0.04044919629879734,-0.021999610515312094,0.19171595770602862,0,0.11120100772851692,0
22,128540.18696314395,25559,274117,0.39413419199493605,0.07413670986076143,0.07263797603809341,0.19884053854168174,0,0.04587894914098994,0
23,49000.90752071599,9964,177016,0.7941847424844851,0.21325910033651577,0.45903041192579513,0.20334317269098628,2,0.41426725698930644,1
24,50795.18130067903,11970,122474,0.37908135901642026,-0.04596657641872659,-0.15216200152820958,0.23565227435933936,0,0.022711518439925804,0
25,47474.40877340329,21633,239089,0.39612202254986617,-0.003131553699847713,0.18288677670600448,0.4556770807458589,0,0.08749498440474582,0
26,92931.67334305095,15209,264323,0.3707816052282725,-0.12558356060481699,0.1413751731660925,0.16365787306828117,0,0.10745268334281402,0
27,34397.38040583381,12350,261791,0.7098280349602747,0.3285543303005975,0.4328200615777405,0.35903896908107097,1,0.44434361821688795,1
28,74376.55909242884,15478,236717,0.455838721057833,-0.03540572161807452,-0.1662697300502742,0.20810320064370366,0,0.10642269705306313,0
29,127666.22805940545,24729,155977,0.4492210994645286,0.006440050227043394,-0.12167533087255301,0.19370040437392058,0,0.01738405761748474,0
30,139144.05393064843,19369,62910,0.24394381227007195,0.04443594845043278,-0.19555170030117605,0.13920106143848454,0,0.1611729773482287,0
31,120465.1965578727,18046,205890,0.5838897507214194,-0.001650871388547608,-0.05772936216457403,0.14980260287319183,0,0.01745803591793509,0
32,33130.24670937384,25618,82254,0.6664690335499772,0.08881434764928513,-0.12686335680734945,0.7732511087142514,0,0.19818589529147812,0
33,71511.23983482519,24019,123698,0.7942361073562269,0.2539582847587945,0.3161280882623429,0.3358772698596537,1,0.48723046325455127,1
34,102005.36938333455,26526,152974,0.4865754246286943,-0.09098237266208498,-0.17258368239766217,0.2600451344900847,0,0.19953852318476867,0
35,129850.76620436246,6120,94028,0.5600182682730371,0.023843768801020446,0.053334727603613574,0.04713102724683339,0,0.12822952657705947,0
36,43616.37582352693,15147,280169,0.7260617415129523,0.34872411635743633,0.4695351882873398,0.3472778220108242,1,0.5776705538720328,1
37,28085.903668113784,6792,126589,0.8164250305797033,0.33676013255171705,0.33597779609100004,0.24182949853634325,1,0.5212503744329244,1
38,40664.02148427535,11783,292602,0.8066972263341873,0.40141209791918514,0.5592289472570326,0.2897647495232721,2,0.5694162868322141,1
39,30474.05510097503,7717,109676,0.6730577310668163,-0.02332659128933924,-0.17497805535327526,0.2532318056927413,0,0.07466186325595059,0
40,95454.20893476967,15093,170993,0.9139241170265714,0.2509670716840973,0.46564723372879824,0.15811770029244146,1,0.5887947955664623,1
